r,cutoff,avg_time (seconds),median_time (seconds)
3,165,0.368290882,0.369879689
3,166,0.366226256,0.367547588
3,167,0.367485687,0.36847408
3,168,0.375011718,0.375694759
3,169,0.37249544,0.375929544
3,170,0.368211268,0.368627207
3,171,0.369777923,0.37120136
3,172,0.367209208,0.36803009
3,173,0.368488243,0.370556683
3,174,0.368670186,0.369982275
3,175,0.369801467,0.369810124
3,176,0.36962936,0.371279136
3,177,0.367636015,0.367898443
3,178,0.371026156,0.371351134
3,179,0.36644921,0.367465541
3,180,0.365483397,0.368078761
3,181,0.374716886,0.37613405
3,182,0.371243429,0.374185258
3,183,0.378041817,0.382020793
3,184,0.376507882,0.37774655
3,185,0.368799457,0.370222429
3,186,0.371848777,0.372505919
3,187,0.381740115,0.386645692
3,188,0.371316387,0.37184362
3,189,0.373088019,0.373378608
3,190,0.373342862,0.375160511
3,191,0.368971222,0.371105253
3,192,0.367549514,0.367578524
3,193,0.367635263,0.367678552
3,194,0.367887315,0.368621253
3,195,0.369432437,0.369931481
3,196,0.370464022,0.370561901
3,197,0.369452146,0.371979271
3,198,0.368533078,0.368895338
3,199,0.371618532,0.372398485
3,200,0.36853653,0.370532354
5,3,0.485188649,0.485880191
5,4,0.476327463,0.476446457
5,5,0.46447782,0.466515241
5,6,0.453040529,0.454669373
5,7,0.442621662,0.442647929
5,8,0.435345236,0.437161147
5,9,0.434898597,0.43595442
5,10,0.428971519,0.429479509
5,11,0.427931591,0.430769316
5,12,0.419405661,0.423894188
5,13,0.41248563,0.414027384
5,14,0.411241697,0.412152942
5,15,0.407720643,0.408775701
5,16,0.405067192,0.405548818
5,17,0.404445693,0.404984205
5,18,0.404714997,0.405172813
5,19,0.398170097,0.399011374
5,20,0.395632683,0.395821912
5,21,0.402671207,0.405445693
5,22,0.393541101,0.396815811
5,23,0.388918964,0.389478639
5,24,0.386770776,0.387956612
5,25,0.383369407,0.383486792
5,26,0.382205267,0.382580319
5,27,0.378783833,0.379257892
5,28,0.374270189,0.374326535
5,29,0.373688126,0.374798334
5,30,0.369106732,0.369584449
5,31,0.369220837,0.370211139
5,32,0.367920937,0.368238538
5,33,0.365356864,0.366335181
5,34,0.365789994,0.368390239
5,35,0.364040211,0.366947496
5,36,0.362050791,0.362112034
5,37,0.365483944,0.366189185
5,38,0.359790531,0.360791766
5,39,0.361580159,0.361851076
5,40,0.362188667,0.363416263
5,41,0.35852364,0.359054437
5,42,0.362836766,0.36398922
5,43,0.354845145,0.355327989
5,44,0.355379632,0.355431814
5,45,0.35723476,0.359002115
5,46,0.353996383,0.354476022
5,47,0.352769634,0.35329443
5,48,0.357994957,0.358200815
5,49,0.350793148,0.351355218
5,50,0.351272011,0.352366835
5,51,0.357944943,0.359119971
5,52,0.350158643,0.352068073
5,53,0.347225729,0.347973102
5,54,0.350632889,0.354258123
5,55,0.346601829,0.346698885
5,56,0.347033606,0.348258443
5,57,0.34434522,0.345218104
5,58,0.344828557,0.347125154
5,59,0.343271331,0.344393013
5,60,0.348740103,0.349849711
5,61,0.341512613,0.342020334
5,62,0.345426376,0.347581555
5,63,0.344234467,0.34447913
5,64,0.343763683,0.344601725
5,65,0.342100646,0.343070597
5,66,0.339018945,0.339661826
5,67,0.340086062,0.341742512
5,68,0.341237198,0.342849939
5,69,0.338810961,0.339513538
5,70,0.340747457,0.341745244
5,71,0.345270684,0.347971856
5,72,0.337117099,0.338139656
5,73,0.336698864,0.336756568
5,74,0.341248386,0.343845425
5,75,0.337562128,0.338310717
5,76,0.33589032,0.335948109
5,77,0.338890986,0.34158834
5,78,0.341870504,0.343815848
5,79,0.340148817,0.341584654
5,80,0.337613874,0.338124959
5,81,0.334540459,0.335130757
5,82,0.342836419,0.346480661
5,83,0.341874828,0.342386445
5,84,0.332945741,0.334735503
5,85,0.335697571,0.336206296
5,86,0.33562387,0.335629339
5,87,0.334404203,0.335361136
5,88,0.335232495,0.336549237
5,89,0.336286414,0.336296881
5,90,0.333602113,0.333891496
5,91,0.336293817,0.338355883
5,92,0.33314791,0.333933271
5,93,0.332174054,0.332292773
5,94,0.33414759,0.336338512
5,95,0.333860518,0.336039867
5,96,0.331839926,0.33231424
5,97,0.331841592,0.33208959
5,98,0.331569624,0.332747051
5,99,0.331707852,0.332935849
5,100,0.330902497,0.331759558
5,101,0.332272687,0.33371058
5,102,0.33166954,0.33332556
5,103,0.331867557,0.332118569
5,104,0.33042589,0.331508024
5,105,0.333588427,0.336846648
5,106,0.330282121,0.331365865
5,107,0.331424265,0.333049173
5,108,0.329904711,0.33118409
5,109,0.331654857,0.332569637
5,110,0.331312692,0.331437614
5,111,0.331443006,0.332238766
5,112,0.332442718,0.333788649
5,113,0.335547269,0.33863537
5,114,0.328267498,0.328468319
5,115,0.330312083,0.333079159
5,116,0.333407249,0.335739382
5,117,0.32727782,0.327622769
5,118,0.327113836,0.327812384
5,119,0.330844356,0.332269351
5,120,0.329458009,0.331311713
5,121,0.328606582,0.330579261
